idx,seq,name,uscc,origin,vintage,label,borderline
1,20,宙世科技（海南）合伙企业（有限合伙）,91460000MACEQQWWXM,本地(省级),MAC,,
2,26,重庆元欧电子工程有限公司海南分公司,91460000MAC9FPLL2J,本地(省级),MAC,,
3,30,众智云（海南）科技管理合伙企业（有限合伙）,91460400MAC604RD3A,省内迁入/外设,MAC,,
4,43,中泽赛奥（海南）生物科技有限公司,91460000MACTW17P1A,本地(省级),MAC,,
5,95,中涛国海（海南）石油化工国际能源集团有限公司,91460100MA5U0ML58B,省内迁入/外设,MA5,,
6,116,中瑞诚会计师事务所（特殊普通合伙）三亚分所,91460000MAG09E134D,本地(省级),MAG,,
7,173,中景德企服（海南）科技有限公司,91460108MAD8WNN1XP,省内迁入/外设,MAD,,
8,194,中机联投科技（海南）有限责任公司,91460000MACHH5RC0J,本地(省级),MAC,,
9,265,中都亿博科技（海南）有限公司,91460000MAK01TEN59,本地(省级),MAK,,
10,331,证聚科技（海南）有限责任公司,91460000MAEPNEWM2N,本地(省级),MAE,,
11,367,展途科技迁安有限公司,91130283MA0CW9KK8C,省外迁入/外设,MA其他,,
12,391,云检科技（海南）有限公司,91469027MA5TN6ET00,省内迁入/外设,MA5,,
13,431,喻义（海南）科技有限公司,91460000MAE4G6UL2N,本地(省级),MAE,,
14,441,宇帆科技（三亚崖州）有限公司,91460000MAEHGEHU70,本地(省级),MAE,,
15,510,以凯星（海南）信息科技中心（有限合伙）,91469034MAD088866G,省内迁入/外设,MAD,,
16,556,炎垚创科新能源（海南）有限公司,91460000MAENXM6D8A,本地(省级),MAE,SUPPORT,
17,562,亚亚电子竞技（海南）有限公司,91460000MA5TM2032N,本地(省级),MA5,,
18,576,迅易（北京）科技有限公司三亚分公司,91460000MAD5WC0H1U,本地(省级),MAD,,
19,627,鑫顺通（海南）汽车租赁有限责任公司,91460000MA5U1C9K2A,本地(省级),MA5,,
20,694,西部资信（海南）科技有限公司,91110108089692081E,省外迁入/外设,旧版(2015前),,
21,707,武汉汇曼联合科技有限公司海南分公司,91460000MAETJBWM66,本地(省级),MAE,,
22,734,未占有孚生物科技（三亚）有限公司,91460000MAG1FNMK5D,本地(省级),MAG,,
23,757,望村（三亚市）飞行器有限责任公司,91469001MADFW59T70,省内迁入/外设,MAD,SUPPORT,
24,773,万邦慧通（海南）科技有限公司,91460000MAE8KBXC7Y,本地(省级),MAE,,
25,774,土能（三亚）生物工程有限公司,91460000MAA973R877,本地(省级),MAA,SEED,Y
26,844,缩地千里（海南）科技有限公司,91460000MAEUT0CE9E,本地(省级),MAE,,
27,968,陕西绿享纯电汽车租赁有限公司三亚分公司,91460200MA5T4AQE1P,本地(三亚),MA5,,
28,999,三亚紫清消防技术有限公司,91460000MACM3C7E7L,本地(省级),MAC,,
29,1034,三亚众书百货商店（个人独资）,91460000MAA94L2M5F,本地(省级),MAA,,
30,1050,三亚中兴置地有限公司,91460200693155426K,本地(三亚),旧版(2015前),,
31,1098,三亚智岛科技有限公司,91460000MAG0JTP24M,本地(省级),MAG,,
32,1130,三亚振新农业有限公司,91460000MACWKQKC3Y,本地(省级),MAC,SEED,
33,1140,三亚甄志成房产经纪有限公司,91460000MAELGD9B10,本地(省级),MAE,,
34,1194,三亚云众信息技术有限公司,91460000MAEG25W137,本地(省级),MAE,,
35,1253,三亚圆周派科技有限公司,91460000MAE0AX146C,本地(省级),MAE,,
36,1275,三亚育健桂网络科技有限公司,91460000MA5TF7X549,本地(省级),MA5,,
37,1308,三亚宇嘉建材科技有限公司,91460000MAELBY9D8U,本地(省级),MAE,,
38,1326,三亚有安堂药品大药房,91460000MA5TKL9M6B,本地(省级),MA5,,
39,1337,三亚优旗永盛柒号农业有限公司,91460000MAK18PPN39,本地(省级),MAK,SEED,
40,1420,三亚益善炫网络科技有限公司,91460000MA5TGRAK09,本地(省级),MA5,,
