idx,seq,name,uscc,track,origin,vintage,label
1,1,佐医凯尔（三亚）健康科技有限公司,91460000MAEN3J386Y,泛科技无行业信号,本地(省级),MAE,OK
2,11,卓世科技（海南）有限公司,91110228MA01G2297M,待判定,省外迁入/外设,MA其他,OK
3,29,重庆八骏祥集实业有限公司海南分公司,91460000MAE85HLFX2,待判定,本地(省级),MAE,OK
4,96,中唐国泰有限公司,91460200MA5T786A29,待判定,本地(三亚),MA5,OK
5,113,中润志航（海南）科技有限公司,91460000MAER6PQ89J,泛科技无行业信号,本地(省级),MAE,OK
6,133,中农国商（海南）产业发展集团有限公司,91469001MA5TLKX609,待判定,省内迁入/外设,MA5,MISS_BORDERLINE
7,134,中农动科（三亚）技术有限公司,91460100MA5TKQUM3A,待判定,省内迁入/外设,MA5,MISS_STRICT
8,175,中京建实业（海南）有限公司,91460100MA5TY74H1P,待判定,省内迁入/外设,MA5,OK
9,249,中国东方航空股份有限公司海南分公司,91460200MAA907K93T,待判定,本地(三亚),MAA,OK
10,344,臻禾（海南）生物科技有限公司,91610201MAB254170M,泛科技无行业信号,省外迁入/外设,MA其他,MISS_BORDERLINE
11,345,臻工坊（三亚）实业有限公司,91460000MAD86MQ301,待判定,本地(省级),MAD,OK
12,427,煜林工程项目管理（三亚）有限公司,91460000MAK0GFMF4B,待判定,本地(省级),MAK,OK
13,446,渝商宗权实业（海南）有限公司,91460000MA5TYMUY7A,待判定,本地(省级),MA5,OK
14,501,亿筑生物科技（海南）有限公司,91460000MA7KF7C3XE,待判定,本地(省级),MA7,OK
15,506,亦舒林（海南省三亚市）科技有限公司,91460000MA5U07PL32,泛科技无行业信号,本地(省级),MA5,OK
16,586,轩智和创（三亚）科技有限公司,91460000MAE824B366,泛科技无行业信号,本地(省级),MAE,OK
17,603,星路影视器材租赁（海南）有限公司,91460000MA5TN6QP4E,待判定,本地(省级),MA5,OK
18,637,鑫迪未来（海南）生物科技发展有限公司,91460000MAEJP07T8W,待判定,本地(省级),MAE,OK
19,721,沃腾（海南）生物科技有限公司,91460000MACP7PDW29,泛科技无行业信号,本地(省级),MAC,OK
20,788,同成共赢（海南）科技有限公司,91460000MAEWUADL7N,泛科技无行业信号,本地(省级),MAE,OK
21,810,天津市政工程设计研究总院有限公司三亚分公司,91460200MA5TM8223R,待判定,本地(三亚),MA5,OK
22,823,腾霄科技（三亚）有限公司,91460000MAG0QJ1T33,待判定,本地(省级),MAG,OK
23,834,泰美康生物科技（三亚）有限公司,91460000MAEMKME947,待判定,本地(省级),MAE,OK
24,881,数字孪生（海南）科技有限公司,91460108MA5TWL5816,泛科技无行业信号,省内迁入/外设,MA5,MISS_STRICT
25,903,石炭纪（海南）科技有限公司,91460000MA7GU5PJ6U,泛科技无行业信号,本地(省级),MA7,OK
26,956,上海勘测设计研究院有限公司海南分公司,91460000MAC38FPF8H,待判定,本地(省级),MAC,MISS_STRICT
27,981,山东渔创实业有限公司三亚分公司,91460000MA7HPTDT04,待判定,本地(省级),MA7,MISS_BORDERLINE
28,1013,三亚卓发金属制品有限公司,91460000MAC6J57N4E,待判定,本地(省级),MAC,OK
29,1050,三亚中兴置地有限公司,91460200693155426K,待判定,本地(三亚),旧版(2015前),OK
