seq,name,uscc,pdf_page
1,佐医凯尔（三亚）健康科技有限公司,91460000MAEN3J386Y,1
2,遵义市中湘建筑工程有限公司海南分公司,91460000MACJK3D068,1
3,纵达（三亚）科技有限公司,91460000MA7H7DTQ6L,1
4,棕锂科技实业（海南）有限公司,91460106MAA91QH16L,1
5,紫气东来投资股份有限公司,91460200MA5REQ016H,1
6,紫木柯瑶（海南三亚）信息科技有限责任公司,91460000MA7H526221,1
7,梓选（海南）投资有限公司,91460000MAEN100921,1
8,子悦华庭企业管理（三亚）有限公司,91460000MAD86KB99T,1
9,子若国际贸易（海南）有限公司,91460000MACFKA4477,1
10,子成科技（海南）有限公司,91460000MACNBCFQ07,1
11,卓世科技（海南）有限公司,91110228MA01G2297M,1
12,卓霖世纪（三亚）科技有限公司,91460000MAG0HDW327,1
13,卓聚润承（海南）投资有限公司,91460000MAE7M4M93C,1
14,卓津固（三亚）商贸有限公司,91460000MA7K7AHQ4T,1
15,卓辉（海南）科技开发有限公司,91469025MA5U127X9D,1
16,卓傲（海南）文化传媒有限公司,91460000MA5U27QL0X,1
17,庄润臻农生态农业科技（海南）有限公司,91460107MADMXRF420,1
18,竹夭文化科技发展（海南）有限公司,91460000MACRUC4M5Q,1
19,珠海市丹田物业管理股份有限公司三亚分公司,91460000MAEQM0HF77,1
20,宙世科技（海南）合伙企业（有限合伙）,91460000MACEQQWWXM,1
21,舟恒海洋科技（海南）有限公司,91460106MAA9AKLD27,1
22,周唐气候环境治理（海南）集团有限公司,91460105MAA9AA8H51,1
23,周唐蓝晟海洋能源开发（海南）集团有限公司,91460108MAA9AABJ0Y,1
24,周唐海洋生态环境建设管理（海南）有限公司,91460000MAC0TC4M5G,1
25,重视（海南）投资有限公司,91460000MAECBND33A,1
26,重庆元欧电子工程有限公司海南分公司,91460000MAC9FPLL2J,1
27,重庆赛迪工程咨询有限公司三亚分公司,91460200MA5TN2P290,1
28,重庆帆格科技有限公司海南分公司,91460107MADTRBUD13,1
29,重庆八骏祥集实业有限公司海南分公司,91460000MAE85HLFX2,1
30,众智云（海南）科技管理合伙企业（有限合伙）,91460400MAC604RD3A,1
31,众元传动技术（海南）有限公司,91460000MAE7DTJJ5U,1
32,众鑫博业（海南）投资有限公司,91460106MADLNBEF7Q,1
33,众欣融智（三亚）科技发展有限公司,91460000MAEJ6JGT3Y,1
34,众祺（海南）建筑工程有限公司,91460000MA5T8HJH23,1
35,众客诚（海南）国际贸易有限公司,91460203MACHDXKF57,1
36,众驰（海南）种子生物科技有限公司,91460203MADCYUUQ23,1
37,仲智（海南）控股有限公司,91460200MA5TY21W13,1
38,中铸国丰（海南）能源有限公司,91469034MA5T5PJ686,1
39,中之芹（海南）国际科技有限公司,91460105MAA956NT0N,1
40,中证数维（海南）投资中心（有限合伙）,91460000MAA930EM9P,1
41,中证数维（海南）科技有限公司,91469025MAA93R8UX5,1
42,中正（海南）科技有限公司,91460108MA7JX6BJ9M,1
43,中泽赛奥（海南）生物科技有限公司,91460000MACTW17P1A,1
44,中泽能（海南）投资有限公司,91460108MADX585H0W,2
45,中瓒（海南）投资有限公司,91469025MADXX0QJ1T,2
46,中运汇智国际能源（海南）有限公司,91460000MA5TUJ3Y5Y,2
47,中云网络信息技术（三亚）有限责任公司,91460000MAE9T8XP57,2
48,中元科建（海南）环境技术有限公司,91460000MAEJ2TGYXE,2
49,中誉乾通电子商务有限公司,91469001MA5TJ87F56,2
50,中育（海南）职业技能培训学校有限公司,91460105MAA9AE4U7P,2
51,中聿博呈投资（海南）有限公司,91460100MAD4MW4FX7,2
52,中宇鸿新（海南）股权投资合伙企业（有限合伙）,91469034MA5TK7E776,2
53,中渝动能（海南）工贸发展有限公司,91460300MA5U0K2M0Q,2
54,中油中铝（海南）能源有限公司,91460105MAA98FA95Q,2
55,中油兆泰能源（海南）有限公司,91460000MA5TYFA88T,2
56,中油伊尔曼新能源（海南）有限公司,91460000MAA8YJDR34,2
57,中油燕山国际能源（三亚）有限公司,91469033MA5TTNDM60,2
58,中油联鑫石化（海南）有限公司,91460000MA5U2C111Y,2
59,中油嘉润国际贸易（海南）有限公司,91460107MA5TUTEE9D,2
60,中永福一三七生物科技（海南）有限公司,91460000MA5TWCUW28,2
61,中瀛检验技术服务（海南）有限公司,91460000MACLCPFR83,2
62,中因生命科学（海南）有限公司,91460000MAA8YCM003,2
63,中镒（海南）国际贸易有限公司,91460000MAE2NPFP8C,2
64,中益道禾（海南）生物科技有限公司,91460000MAC67LQK9J,2
65,中毅洺（海南）国际进出口贸易有限责任公司,91460000MAD6J89E3A,2
66,中亿源石油（海南）有限公司,91460000MA5TW2LH56,2
67,中移铁通有限公司三亚崖州区营业厅,91460200MA5TL7AMXC,2
68,中邺生物科技（三亚）有限公司,91460000MABRD4HG2P,2
69,中燕科技（海南）有限公司,91460000MAA909U09M,2
70,中燕国际投资发展（海南）有限公司,91460000MAEJ0NC847,2
71,中研环能能源科技（海南）有限公司,91460000MA5U043704,2
72,中星和睿（海南）科技有限公司,91460000MAEWEBE07A,2
73,中鑫通链（海南）科技集团有限公司,91460108MAA9ANK67C,2
74,中鑫堂（海南）大健康产业有限公司,91460000MADFTQ8N2J,2
75,中鑫良田（海南）商贸有限公司,91460000MADGK6NY5X,2
76,中芯产投（海南）投资有限公司,91460000MAEBXHBJ46,2
77,中欣安泰商务服务有限公司,91210245559843527X,2
78,中显（海南）科技有限公司,91460000MACCMYNX9M,2
79,中玺文晟（海南）企业管理有限公司,91460000MA5TT2QW3J,2
80,中玺盛硕（海南）商贸有限公司,91460000MACRDBB8XR,2
81,中未华夏（海南）医学研究发展有限公司,91460000MAD7TTP2XG,2
82,中伟鑫业（海南）科技有限公司,91460108MACEWBQP6C,2
83,中微（海南）企业服务有限公司,91460000MADC3CWL6X,2
84,中投海源（三亚）古城开发有限公司,91460200090522151W,2
85,中通服海洋科技（上海）有限公司海南分公司,91469027MADT22X380,2
86,中铁铁龙（三亚）国际物流港有限公司,91460100MA5TA4YD0K,2
87,中铁十一局集团有限公司三亚分公司,91460200MA5TR9BN2L,2
88,中铁十六局集团有限公司三亚分公司,91460200MA5TNQKT3E,2
89,中铁十八局集团有限公司三亚分公司,91460200MA5TLBYL5F,3
90,中铁建海南建设发展有限公司,91460200MA5TF0X71R,3
91,中铁国安（海南）控股集团有限公司,91460000MA5TR0PL05,3
92,中铁二十二局集团第三工程有限公司三亚分公司,91460200MA5TUQ1W57,3
93,中天得一融资担保（海南）有限公司,91460000MACBGRG955,3
94,中腾石油化工（海南）有限公司,91460000MA5TTBEN84,3
95,中涛国海（海南）石油化工国际能源集团有限公司,91460100MA5U0ML58B,3
96,中唐国泰有限公司,91460200MA5T786A29,3
97,中泰建业（成都）建筑劳务有限公司三亚分公司,91460108MADQC158X4,3
98,中宿（海南）石油物资有限公司,91460000MA5U1XQG5G,3
99,中硕立华科技（海南）有限公司,91460000MA5U0PH938,3
100,中水晨海（海南）智慧渔业有限公司,91460000MAE92H6735,3
101,中水（海南）种业有限公司,91460000MAEXB58QX5,3
102,中数未来（海南）系统集成有限公司,91460105MAA9A6L75X,3
103,中枢库企业管理（海南）有限责任公司,91460000MAEE3H729W,3
104,中试（海南）传动技术有限公司,91460100MAA98ACD72,3
105,中实能源（海南）有限公司,91460100MA5U1P4Y0P,3
106,中实（三亚）进出口贸易有限公司,91460000MA5TLCAJ95,3
107,中十建设（河南）有限公司三亚分公司,91460000MAEF2DG8X2,3
108,中升佳美（海南）清洁能源有限公司,91460000MA5TYM5348,3
109,中升（海南）石油化工有限公司,91460000MA5TUNN13K,3
110,中商国源（海南）投资集团有限公司,91460000MA5TT5JL7A,3
111,中色矿业开发建设（海南）有限公司,91460108MAA9APGG93,3
112,中闰建设集团第三工程有限公司三亚分公司,91460000MA7MUB353U,3
113,中润志航（海南）科技有限公司,91460000MAER6PQ89J,3
114,中润逸雅（海南）投资有限公司,91460204MADD3YK33Q,3
115,中润金元（海南）石化有限公司,91460000MA5U1K8552,3
116,中瑞诚会计师事务所（特殊普通合伙）三亚分所,91460000MAG09E134D,3
117,中荣国誉集团有限公司三亚分公司,91460000MACHRN6TXP,3
118,中热科（海南）海洋与农业研究院有限公司,91460100069661050T,3
119,中燃中泰（海南）实业有限公司,91460000MAA94ADT2H,3
120,中燃联储石油（海南）有限公司,91460000MAA92LWJ01,3
121,中趣云海（海南）投资有限公司,91460000MAD7BRDX3P,3
122,中庆粮安（海南）农业科技有限公司,91460000MAC6KERA54,3
123,中庆澳龙（海南）能源发展有限公司,91460108MAD7WDNDXG,3
