seq,name,uscc,pdf_page,tier,track,form,reg_authority,origin,vintage,seed_kw,ocean_kw,support_kw,exclude_kw,holding_kw,anchor_kw,state_kw,risk_flags,score,inst_role
1605,三亚崖州湾创新发展中心有限公司,91469001MA5TP75T7U,36,D 名称无行业信号,待判定,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,,,崖州湾,,,28,园区/产业平台
1599,三亚崖州湾科技城开发建设有限公司,91460200MA5T9DX15F,36,D 名称无行业信号,待判定,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,,崖州湾|科技城,,,34,园区/产业平台
1598,三亚崖州湾科技城控股集团有限公司,91460200MA5T89HQ12,36,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,控股,崖州湾|科技城,,纯投资/控股载体,22,园区/产业平台
1597,三亚崖州湾科技城投资控股有限公司,91460200MA5TFHHN7J,36,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,投资|控股,崖州湾|科技城,城投,纯投资/控股载体,30,园区/产业平台; 国有资本平台
1602,三亚崖州湾创业投资有限公司,91460200MA5TG8QA9T,36,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,投资|创业投资,崖州湾,,纯投资/控股载体,22,园区/产业平台; 基金/投资管理人
1601,三亚崖州湾国际农业科技孵化器有限公司,91460105MAA96XK54A,36,A 核心赛道-优先访谈,南繁种业,独立法人,海口登记,省内迁入/外设,MAA,农业科技,,,,,崖州湾,,,78,园区/产业平台; 科研/孵化载体
5292,三亚城投众辉新型建材有限公司,91460200MA5TGG4RXG,118,D 名称无行业信号,待判定,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,,,城投,,24,国有资本平台
4296,三亚科城投资有限公司,91460000MA5U09QG45,96,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,,投资,,城投,纯投资/控股载体,12,国有资本平台
283,中城投（海南）科技有限公司,91460000MABLHPPF9R,7,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MA其他,,,,,,,城投,,24,国有资本平台
5926,凯撒世嘉数字科技发展控股（海南）有限公司,91460200MA5TKEPE39,132,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,控股,,发展控股,纯投资/控股载体,12,国有资本平台
13606,国投种业科技有限公司,91460000MAD0EDTW9H,303,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MAD,国投种业|种业,,,,,国投种业,国投,,92,国有资本平台
13607,国投（北京）科技创新有限公司海南分公司,91460000MAEB94E52T,303,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAE,,,,,,,国投,分支机构(非独立法人),2,国有资本平台
361,招商局物业管理有限公司三亚分公司,91460200MA5TGYNC7A,9,E 非目标/对照组池,非目标,分支机构,三亚市/区登记,本地(三亚),MA5,,,,物业,,招商局,招商局,分支机构(非独立法人),20,国有资本平台
336,正合艺（海南）文化发展控股有限公司,91460000MABMN1NT9R,8,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA其他,,,,文化,控股,,发展控股,纯投资/控股载体,12,国有资本平台
9988,海南农垦南繁产业集团有限公司,91460200MA5RD9N610,222,A 核心赛道-优先访谈,南繁种业,独立法人,三亚市/区登记,本地(三亚),MA5,南繁,,,,,南繁,农垦,,92,国有资本平台
9986,海南农垦南繁投资有限公司,91469033MA5TFJJW9T,222,A 核心赛道-优先访谈,南繁种业,独立法人,海南其他市县登记,省内迁入/外设,MA5,南繁,,,,投资,南繁,农垦,,86,国有资本平台
9985,海南农垦南繁文化开发有限公司,91469002MA5TK8U63E,222,E 非目标/对照组池,赛道词但经营词冲突,独立法人,海南其他市县登记,省内迁入/外设,MA5,南繁,,,文化,,南繁,农垦,科技名称与经营词冲突,24,国有资本平台
9987,海南农垦南繁生产服务有限公司,91460200MA5T3K7G9B,222,E 非目标/对照组池,赛道词但经营词冲突,独立法人,三亚市/区登记,本地(三亚),MA5,南繁,,,服务有限公司,,南繁,农垦,科技名称与经营词冲突,30,国有资本平台
9984,海南农垦南繁种业有限公司,91460200MA5T3H929R,222,A 核心赛道-优先访谈,南繁种业,独立法人,三亚市/区登记,本地(三亚),MA5,种业|南繁,,,,,南繁,农垦,,92,国有资本平台
14414,海南源纳仟城投资有限公司,91460000MAK2029D4G,321,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAK,,,,,投资,,城投,纯投资/控股载体,12,国有资本平台
8936,海南省农垦科学院集团有限公司,91460000MA5T7LP231,199,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,农垦,,24,国有资本平台
10431,海南领城投资发展有限公司,91460000MA5U2UUB7U,232,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,,投资,,城投,纯投资/控股载体,12,国有资本平台
870,顺控（海南）发展控股中心（有限合伙）,91460000MAC7JQH591,20,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,控股,,发展控股,合伙企业(常为持股/通道载体); 纯投资/控股载体,-10,国有资本平台
1060,三亚中数全语通股权投资基金合伙企业（有限合伙）,91460200MA5TUA5D1W,24,E 非目标/对照组池,非目标,合伙企业,三亚市/区登记,本地(三亚),MA5,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
4043,三亚名韩创业投资合伙企业（有限合伙）,91469026MABM509G2A,90,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MA其他,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
14648,三亚启原产业投资合伙企业（有限合伙）,91469034MAC413T510,326,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MAC,,,,,投资|产业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
4966,三亚广科融汇创业投资基金合伙企业（有限合伙）,91460000MADHTMX551,111,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAD,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
5307,三亚晨硕创业投资合伙企业（有限合伙）,91469033MABNUDL27Q,118,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MA其他,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
4414,三亚景卓文化产业投资有限公司,91460200MA5T3AW93P,99,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,文化,投资|产业投资,,,纯投资/控股载体,4,基金/投资管理人
4855,三亚汉铭私募股权投资基金管理有限公司,91460000MAA9401D8A,108,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAA,,,,,投资|基金|股权|股权投资,,,纯投资/控股载体,4,基金/投资管理人
5425,三亚百圣露产业投资合伙企业（有限合伙）,91469025MADM1G851Q,121,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MAD,,,,,投资|产业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
5114,三亚端木元丰股权投资基金合伙企业（有限合伙）,91460000MAC73W8938,114,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
1926,三亚维微创业投资合伙企业（有限合伙）,91469033MADLQ55N58,43,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MAD,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
3774,三亚荣盛业私募证券基金管理有限公司,91440300359779516U,84,E 非目标/对照组池,金融机构,独立法人,省外登记(440300),省外迁入/外设,旧版(2015前),,,,,基金,,,纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-14,基金/投资管理人
5005,三亚高榕五期二号股权投资基金合伙企业（有限合伙）,91460200MAA9022E6L,112,E 非目标/对照组池,非目标,合伙企业,三亚市/区登记,本地(三亚),MAA,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
135,中农春天（海南）产业投资有限公司,91460000MAK2CHH80M,4,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAK,,,,,投资|产业投资,,中农,纯投资/控股载体,12,基金/投资管理人
52,中宇鸿新（海南）股权投资合伙企业（有限合伙）,91469034MA5TK7E776,2,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,投资|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
5860,乐风（海南）私募基金管理有限公司,91460000MADBXMR53U,131,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAD,,,,,基金,,,纯投资/控股载体,4,基金/投资管理人
5823,亮堂（海南）文旅产业投资有限公司,91460000MAEBEBY99Q,130,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,文旅,投资|产业投资,,,纯投资/控股载体,4,基金/投资管理人
13980,保通通投（海南）先进制造产业投资中心（有限合伙）,91430300MA4R49BC3T,311,E 非目标/对照组池,非目标,合伙企业,省外登记(430300),省外迁入/外设,MA其他,,,,,投资|产业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
6174,华芯金瑞（海南）私募股权基金管理有限公司,91460000MACM7Y6B80,138,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAC,,,,,基金|股权,,,纯投资/控股载体,4,基金/投资管理人
13601,国信田园私募股权投资基金（海南）合伙企业（有限合伙）,91460000MAA92MUC3M,303,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAA,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
13617,国科盛汇股权投资基金（海南）合伙企业（有限合伙）,91460000MACUQ7LE56,303,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
13616,国科盛源（海南）私募基金管理有限公司,91460000MA5TLPJ9XN,303,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,,基金,,,纯投资/控股载体,4,基金/投资管理人
14586,数智田产业投资（海南）合伙企业（有限合伙）,91460000MAK4N42X6D,325,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAK,,,,,投资|产业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
6513,海南中星未来私募投资基金合伙企业（有限合伙）,91460000MAA97D453Q,145,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAA,,,,,投资|基金,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
6514,海南中星融泰私募基金管理有限公司,91460000MAA91HT69P,145,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAA,,,,,基金,,,纯投资/控股载体,4,基金/投资管理人
7689,海南信知天地私募股权投资基金合伙企业（有限合伙）,913202000763122383,171,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
10408,海南六月双子产业投资有限公司,91460000MAE8KC1F0L,232,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资|产业投资,,,纯投资/控股载体,4,基金/投资管理人
10805,海南凯旋创业投资合伙企业（有限合伙）,91469033MA5U2B5P0B,241,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
10802,海南凯旋数字科技股权投资基金合伙企业（有限合伙）,91460000MAA994EG3B,241,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAA,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
10050,海南南繁育种产业投资基金合伙企业（有限合伙）,91460000MAC6AUR88K,224,B 核心赛道-需核实,南繁种业,合伙企业,海南省级登记,本地(省级),MAC,育种|南繁,,,,投资|基金|产业投资,南繁,,合伙企业(常为持股/通道载体),62,基金/投资管理人
9825,海南启鸿育远科技创业投资基金合伙企业（有限合伙）,91460000MADA83FY5U,219,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAD,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
11994,海南和同基金管理有限公司,91360602309276937Q,267,E 非目标/对照组池,非目标,独立法人,省外登记(360602),省外迁入/外设,旧版(2015前),,,,,基金,,,纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-14,基金/投资管理人
12301,海南国信安邦私募股权投资基金合伙企业（有限合伙）,913202000763121152,274,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
6823,海南增氧工信创业投资基金合伙企业（有限合伙）,91460000MAA9209X13,152,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAA,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
13126,海南宸昊股权投资基金合伙企业（有限合伙）,91460200MA5U0C1W4Y,292,E 非目标/对照组池,非目标,合伙企业,三亚市/区登记,本地(三亚),MA5,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
13118,海南尘仔创业投资合伙企业（有限合伙）,91310230MA1HFLH52A,292,E 非目标/对照组池,非目标,合伙企业,省外登记(310230),省外迁入/外设,MA其他,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
12746,海南德中科金私募股权投资基金管理有限公司,91460000MAC8DK4239,284,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAC,,,,,投资|基金|股权|股权投资,,中科,纯投资/控股载体,12,基金/投资管理人
11914,海南恒盈私募基金管理有限公司,91460200MAC6YDAD5A,265,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MAC,,,,,基金,,,纯投资/控股载体,4,基金/投资管理人
11558,海南惠达致诚私募股权投资基金合伙企业（有限合伙）,91320200076312246X,257,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
6796,海南招商通服股权投资基金合伙企业（有限合伙）,91460000MAE2KG269A,152,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAE,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
8398,海南探元私募股权投资基金管理有限公司,91460000MA7JG4UA89,187,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA7,,,,,投资|基金|股权|股权投资,,,纯投资/控股载体,4,基金/投资管理人
14061,海南文合未来文化产业投资合伙企业（有限合伙）,91460000MAK3QPBH57,313,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAK,,,,文化,投资|产业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
9887,海南普仁惠民私募股权投资基金合伙企业（有限合伙）,913202000763121745,220,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
7470,海南曜泰华安私募股权投资基金合伙企业（有限合伙）,913200000763128792,167,E 非目标/对照组池,非目标,合伙企业,省外登记(320000),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
8137,海南未来宇航创业投资基金合伙企业（有限合伙）,91460000MA5TU07D78,181,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MA5,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
8139,海南未来微星创业投资基金合伙企业（有限合伙）,91460000MAA97LCY3J,181,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAA,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
8141,海南未来汇富创业投资基金合伙企业（有限合伙）,91460000MAA97D3T3Q,181,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAA,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
9601,海南榕鸿创业投资基金合伙企业（有限合伙）,91460000MADBHW5TX6,214,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAD,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
7201,海南永颐私募股权投资基金合伙企业（有限合伙）,91460200MA5TXLKX77,161,E 非目标/对照组池,非目标,合伙企业,三亚市/区登记,本地(三亚),MA5,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
