seq,name,uscc,pdf_page,tier,track,form,reg_authority,origin,vintage,seed_kw,ocean_kw,support_kw,exclude_kw,holding_kw,anchor_kw,state_kw,risk_flags,score
1,佐医凯尔（三亚）健康科技有限公司,91460000MAEN3J386Y,1,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
2,遵义市中湘建筑工程有限公司海南分公司,91460000MACJK3D068,1,E 非目标/对照组池,非目标,分支机构,海南省级登记,本地(省级),MAC,,,,建筑,,,,分支机构(非独立法人),-6
3,纵达（三亚）科技有限公司,91460000MA7H7DTQ6L,1,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MA7,,,,,,,,,16
4,棕锂科技实业（海南）有限公司,91460106MAA91QH16L,1,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
5,紫气东来投资股份有限公司,91460200MA5REQ016H,1,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,投资,,,纯投资/控股载体,4
6,紫木柯瑶（海南三亚）信息科技有限责任公司,91460000MA7H526221,1,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MA7,,,,,,,,,16
7,梓选（海南）投资有限公司,91460000MAEN100921,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资,,,纯投资/控股载体,4
8,子悦华庭企业管理（三亚）有限公司,91460000MAD86KB99T,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAD,,,,企业管理,,,,,16
9,子若国际贸易（海南）有限公司,91460000MACFKA4477,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAC,,,,贸易,,,,,16
10,子成科技（海南）有限公司,91460000MACNBCFQ07,1,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAC,,,,,,,,,16
11,卓世科技（海南）有限公司,91110228MA01G2297M,1,D 名称无行业信号,待判定,独立法人,省外登记(110228),省外迁入/外设,MA其他,,,,,,,,首次登记在省外(迁入或外地主体设点),-2
12,卓霖世纪（三亚）科技有限公司,91460000MAG0HDW327,1,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAG,,,,,,,,,16
13,卓聚润承（海南）投资有限公司,91460000MAE7M4M93C,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资,,,纯投资/控股载体,4
14,卓津固（三亚）商贸有限公司,91460000MA7K7AHQ4T,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA7,,,,商贸,,,,,16
15,卓辉（海南）科技开发有限公司,91469025MA5U127X9D,1,D 名称无行业信号,待判定,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,,10
16,卓傲（海南）文化传媒有限公司,91460000MA5U27QL0X,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,传媒|文化,,,,,16
17,庄润臻农生态农业科技（海南）有限公司,91460107MADMXRF420,1,A 核心赛道-优先访谈,南繁种业,独立法人,海口登记,省内迁入/外设,MAD,农业科技,,,,,,,,60
18,竹夭文化科技发展（海南）有限公司,91460000MACRUC4M5Q,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAC,,,,文化,,,,,16
19,珠海市丹田物业管理股份有限公司三亚分公司,91460000MAEQM0HF77,1,E 非目标/对照组池,非目标,分支机构,海南省级登记,本地(省级),MAE,,,,物业,,,,分支机构(非独立法人),-6
20,宙世科技（海南）合伙企业（有限合伙）,91460000MACEQQWWXM,1,D 名称无行业信号,待判定,合伙企业,海南省级登记,本地(省级),MAC,,,,,,,,合伙企业(常为持股/通道载体),-6
21,舟恒海洋科技（海南）有限公司,91460106MAA9AKLD27,1,A 核心赛道-优先访谈,深海海洋,独立法人,海口登记,省内迁入/外设,MAA,,海洋,,,,,,,58
22,周唐气候环境治理（海南）集团有限公司,91460105MAA9AA8H51,1,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
23,周唐蓝晟海洋能源开发（海南）集团有限公司,91460108MAA9AABJ0Y,1,A 核心赛道-优先访谈,深海海洋,独立法人,海口登记,省内迁入/外设,MAA,,海洋,,,,,,,58
24,周唐海洋生态环境建设管理（海南）有限公司,91460000MAC0TC4M5G,1,A 核心赛道-优先访谈,深海海洋,独立法人,海南省级登记,本地(省级),MAC,,海洋,,,,,,,64
25,重视（海南）投资有限公司,91460000MAECBND33A,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资,,,纯投资/控股载体,4
26,重庆元欧电子工程有限公司海南分公司,91460000MAC9FPLL2J,1,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAC,,,,,,,,分支机构(非独立法人),-6
27,重庆赛迪工程咨询有限公司三亚分公司,91460200MA5TN2P290,1,E 非目标/对照组池,非目标,分支机构,三亚市/区登记,本地(三亚),MA5,,,,咨询,,,,分支机构(非独立法人),-6
28,重庆帆格科技有限公司海南分公司,91460107MADTRBUD13,1,D 名称无行业信号,待判定,分支机构,海口登记,省内迁入/外设,MAD,,,,,,,,分支机构(非独立法人),-12
29,重庆八骏祥集实业有限公司海南分公司,91460000MAE85HLFX2,1,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAE,,,,,,,,分支机构(非独立法人),-6
30,众智云（海南）科技管理合伙企业（有限合伙）,91460400MAC604RD3A,1,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MAC,,,,,,,,合伙企业(常为持股/通道载体),-12
31,众元传动技术（海南）有限公司,91460000MAE7DTJJ5U,1,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
32,众鑫博业（海南）投资有限公司,91460106MADLNBEF7Q,1,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MAD,,,,,投资,,,纯投资/控股载体,-2
33,众欣融智（三亚）科技发展有限公司,91460000MAEJ6JGT3Y,1,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
34,众祺（海南）建筑工程有限公司,91460000MA5T8HJH23,1,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,建筑,,,,,16
35,众客诚（海南）国际贸易有限公司,91460203MACHDXKF57,1,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MAC,,,,贸易,,,,,16
36,众驰（海南）种子生物科技有限公司,91460203MADCYUUQ23,1,A 核心赛道-优先访谈,南繁种业,独立法人,三亚市/区登记,本地(三亚),MAD,种子,,,,,,,,66
37,仲智（海南）控股有限公司,91460200MA5TY21W13,1,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,控股,,,纯投资/控股载体,4
38,中铸国丰（海南）能源有限公司,91469034MA5T5PJ686,1,D 名称无行业信号,待判定,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,,10
39,中之芹（海南）国际科技有限公司,91460105MAA956NT0N,1,D 名称无行业信号,泛科技无行业信号,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
40,中证数维（海南）投资中心（有限合伙）,91460000MAA930EM9P,1,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAA,,,,,投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18
41,中证数维（海南）科技有限公司,91469025MAA93R8UX5,1,D 名称无行业信号,泛科技无行业信号,独立法人,海南其他市县登记,省内迁入/外设,MAA,,,,,,,,,10
42,中正（海南）科技有限公司,91460108MA7JX6BJ9M,1,D 名称无行业信号,泛科技无行业信号,独立法人,海口登记,省内迁入/外设,MA7,,,,,,,,,10
43,中泽赛奥（海南）生物科技有限公司,91460000MACTW17P1A,1,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAC,,,,,,,,,16
44,中泽能（海南）投资有限公司,91460108MADX585H0W,2,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MAD,,,,,投资,,,纯投资/控股载体,-2
45,中瓒（海南）投资有限公司,91469025MADXX0QJ1T,2,E 非目标/对照组池,非目标,独立法人,海南其他市县登记,省内迁入/外设,MAD,,,,,投资,,,纯投资/控股载体,-2
46,中运汇智国际能源（海南）有限公司,91460000MA5TUJ3Y5Y,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
47,中云网络信息技术（三亚）有限责任公司,91460000MAE9T8XP57,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
48,中元科建（海南）环境技术有限公司,91460000MAEJ2TGYXE,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
49,中誉乾通电子商务有限公司,91469001MA5TJ87F56,2,E 非目标/对照组池,非目标,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,电子商务,,,,,10
50,中育（海南）职业技能培训学校有限公司,91460105MAA9AE4U7P,2,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MAA,,,,培训,,,,,10
51,中聿博呈投资（海南）有限公司,91460100MAD4MW4FX7,2,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MAD,,,,,投资,,,纯投资/控股载体,-2
52,中宇鸿新（海南）股权投资合伙企业（有限合伙）,91469034MA5TK7E776,2,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,投资|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24
53,中渝动能（海南）工贸发展有限公司,91460300MA5U0K2M0Q,2,D 名称无行业信号,待判定,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,,10
54,中油中铝（海南）能源有限公司,91460105MAA98FA95Q,2,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
55,中油兆泰能源（海南）有限公司,91460000MA5TYFA88T,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
56,中油伊尔曼新能源（海南）有限公司,91460000MAA8YJDR34,2,C 支撑/泛赛道-备选,科技配套,独立法人,海南省级登记,本地(省级),MAA,,,新能源,,,,,,41
57,中油燕山国际能源（三亚）有限公司,91469033MA5TTNDM60,2,D 名称无行业信号,待判定,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,,10
