seq,name,uscc,pdf_page,tier,track,form,reg_authority,origin,vintage,seed_kw,ocean_kw,support_kw,exclude_kw,holding_kw,anchor_kw,state_kw,risk_flags,score
9984,海南农垦南繁种业有限公司,91460200MA5T3H929R,222,A 核心赛道-优先访谈,南繁种业,独立法人,三亚市/区登记,本地(三亚),MA5,种业|南繁,,,,,南繁,农垦,,92
9988,海南农垦南繁产业集团有限公司,91460200MA5RD9N610,222,A 核心赛道-优先访谈,南繁种业,独立法人,三亚市/区登记,本地(三亚),MA5,南繁,,,,,南繁,农垦,,92
13606,国投种业科技有限公司,91460000MAD0EDTW9H,303,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MAD,国投种业|种业,,,,,国投种业,国投,,92
250,中国船舶重工集团公司第七六〇研究所海南分部,91460200MABMN7C404,6,A 核心赛道-优先访谈,深海海洋,独立法人,三亚市/区登记,本地(三亚),MA其他,,船舶,,,,研究所,中国,,90
362,招商局深海装备研究院（三亚）有限公司,91460200MA5TALGU1E,9,A 核心赛道-优先访谈,深海海洋,独立法人,三亚市/区登记,本地(三亚),MA5,,招商局深海|深海,装备,,,招商局深海|深海|招商局|研究院,招商局,,90
9986,海南农垦南繁投资有限公司,91469033MA5TFJJW9T,222,A 核心赛道-优先访谈,南繁种业,独立法人,海南其他市县登记,省内迁入/外设,MA5,南繁,,,,投资,南繁,农垦,,86
3989,三亚南繁牛羊生物科技有限公司,91460000MAA98G0HXC,89,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MAA,南繁,,,,,南繁,,,84
3990,三亚南繁国农种业研究有限公司,91460000MACWB0FC1N,89,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MAC,种业|南繁,,,,,南繁,,,84
4268,三亚垦丰农业科技有限公司,91460200324166525T,95,A 核心赛道-优先访谈,南繁种业,独立法人,三亚市/区登记,本地(三亚),旧版(2015前),农业科技|垦丰,,,,,垦丰,,,84
5212,三亚大北农创种基因科技有限公司,91460000MAA990LR76,116,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MAA,基因|大北农,,,,,大北农,,,84
